Peace_Treaty_Accords,Technological_Advancements,Ammonia_Concentration,Precious_Metal_Trade_Tons,Food_Production_Tons,Trade_Agreements_Signed,Last_Contact_Days,Discovery_Date,Mineral_Extraction_Tons,Galactic_Visits,Sulfur_Concentration,Exploration_Missions,Biological_Research_Units,Offspring_Colonies,Cultural_Exchange_Programs,Military_Engagements,Inhabitants_Disputes,Resource_Mining_Operations,Resource_Allocation_Credits,Young_Colonies,HeavyMetals_Concentration,Terraforming_Initiatives,Liquid_Energy_Consumption_Terawatts,Alien_Population_Count,CO2_Concentration,Hydrogen_Concentration,Colonization_Year,Species_Expansion_Response,Alien_Civilization_Level,Interplanetary_Communications,Dominant_Species_Social_Structure_Absurd,Dominant_Species_Social_Structure_Alone,Dominant_Species_Social_Structure_Divorced,Dominant_Species_Social_Structure_Married,Dominant_Species_Social_Structure_Single,Dominant_Species_Social_Structure_Together,Dominant_Species_Social_Structure_Widow,Dominant_Species_Social_Structure_YOLO
0.0,0.0,1.0,40.0,107.0,1.0,13.0,1.0182632825511133,391.0,3.0,0.0,4.0,175.0,0.0,0.0,0.0,0.0,9.2,67.0,0.0,4.0,0.0,647.0,78285.0,10.0,98.55,3118.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,108.0,49.0,1.0,26.2,-0.8315935497523109,357.8,2.0,3.0,6.0,43.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,3.0,0.0,581.0,62772.0,10.0,66.36,3099.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,161.0,53.0,2.4,61.0,-0.37116662893670094,363.0,5.0,2.6,9.0,123.0,0.0,0.0,0.0,0.0,13.0,107.0,1.0,2.0,0.0,726.0,69016.0,5.0,25.229999999999997,3100.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,107.0,3.0,3.0,46.6,0.847131152690444,53.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,3.0,0.0,314.0,43795.0,5.4,44.59,3098.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,29.0,59.0,7.0,24.0,-0.053349816338315294,177.0,3.0,2.0,6.0,77.0,0.0,0.0,0.0,1.0,8.0,5.0,1.0,3.0,0.0,290.0,57957.0,8.0,90.67,3089.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,2.0,5.0,0.0,2.0,1.0,1.177171688850306,25.400000000000006,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,232.8,35340.0,10.0,90.19,3086.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,17.0,13.0,3.0,40.0,-1.5772406870023696,104.0,3.0,3.0,2.0,11.0,0.0,0.0,0.2,0.0,7.2,13.0,1.0,5.0,0.0,296.0,57045.0,3.0,61.1,3080.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,16.0,5.0,4.0,81.0,1.344229244190483,159.0,4.0,2.0,4.0,36.0,0.2,0.0,0.0,0.0,9.0,27.0,1.0,2.0,0.0,458.80000000000007,61872.0,1.0,98.26,3100.0,0.0,3.0,4.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,42.0,3.0,5.0,3.0,-0.8112206771498504,49.999999999999986,8.0,2.0,1.0,4.0,0.8,0.0,0.0,0.0,6.0,3.0,1.0,3.2,0.0,322.0,48432.0,1.0,63.14,3103.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,20.199999999999992,7.0,1.0,77.0,0.011843375989558685,9.0,7.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,11.0,26095.0,5.0,55.62,3120.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,3.0,2.0,0.9999999999999964,1.0,85.0,-0.14299045578914202,4.0,8.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0000000000000004,1.0,0.0,3.0,0.0,2.0,22279.999999999996,4.0,80.85,3105.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,3.0,34.0,0.0,4.0,39.0,-0.49095911983916934,47.0,8.0,1.0,1.0,5.9999999999999964,0.0,0.0,1.0,0.0,7.0,3.8000000000000007,1.0,4.0,0.2,380.0,54104.799999999996,10.0,112.38,3079.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.2,1.0,0.9999999999999964,2.0,94.0,-1.2431255763220155,9.0,8.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.7999999999999999,2.0,0.0,25.0,35441.0,5.0,81.26,3097.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,12.0,0.9999999999999964,1.6,16.0,1.2179174340552272,6.0,5.4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,47.0,30477.0,1.0,42.426,3114.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,100.0,2.1999999999999997,96.0,0.219646676534657,542.5999999999999,2.0,1.0,9.0,21.0,0.0,0.0,0.0,0.0,10.0,66.0,0.0,2.0,1.0,684.0,84618.0,5.8,7.950000000000003,3095.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
